Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8334941,2018-12-18 09:59:57,2018-12-18 04:09:20,98163,23588253,98163,240,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/334/SRR8334941/SRR8334941.sralite.1,SRX5146363,1,WGS,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP173751,PRJNA510506,,510506,SRS4156612,SAMN10606308,simple,12637,Dengue virus,1,,,,,,,no,,,,,KEMRI WELLCOME-TRUST,SRA824534,,public,7B2354F43C4842853E2A5F5ED790FFE7,2BF4C06682442297AAA67C995C303198
SRR1056508,2013-12-22 17:10:29,2013-12-22 17:15:31,181925,54577500,181925,300,28,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056508/SRR1056508.sralite.1,SRX397188,NuGEN_1115.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,90.7106,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518138,SAMN02399353,simple,12637,Dengue virus,1115.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,813D8E2422684A15FE9CFEB34250D47B,C2E543F50609D15A91D143D1C6F4769A
SRR1056481,2013-12-22 17:10:29,2013-12-22 17:14:51,61927,18578100,61927,300,10,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056481/SRR1056481.sralite.1,SRX397285,NuGEN_1202.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,102.168,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518204,SAMN02399348,simple,12637,Dengue virus,1202.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,474EF3EB05B019B90BCF32A29D9043ED,C61108886F4DE51C66B1602CF27BFA27
SRR1056497,2013-12-22 17:10:29,2013-12-22 17:15:29,69479,20843700,69479,300,10,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056497/SRR1056497.sralite.1,SRX397281,NuGEN_1243.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,81.5666,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518203,SAMN02399306,simple,12637,Dengue virus,1243.1,,,,,,,no,,,,,BI,SRA122218,,public,9F808016ED0CA5826BC99D1EC21F3FF3,EC13A85A3509CA6404B0604C7E48A360
SRR1056558,2013-12-22 17:10:29,2013-12-22 17:19:01,63135,18940500,63135,300,10,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056558/SRR1056558.sralite.1,SRX397266,NuGEN_1244.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,134.339,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518191,SAMN02399302,simple,12637,Dengue virus,1244.1,,,,,,,no,,,,,BI,SRA122218,,public,4A5AA1086E4B90C1F76210FACB611E4F,73D11ABF260F65CFBBAE744091730323
SRR1056507,2013-12-22 17:10:29,2013-12-22 17:15:29,71502,21450600,71502,300,11,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056507/SRR1056507.sralite.1,SRX397160,NuGEN_1250.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,127.212,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518114,SAMN02399303,simple,12637,Dengue virus,1250.1,,,,,,,no,,,,,BI,SRA122218,,public,8FF28453A3D62B9D8355F0348C9A5017,2F0EC2FA476D0BF2504958856E4FC318
SRR1056568,2013-12-22 17:10:29,2013-12-22 17:19:01,22552,6765600,22552,300,3,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056568/SRR1056568.sralite.1,SRX397278,NuGEN_1262.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,90.2984,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518200,SAMN02399308,simple,12637,Dengue virus,1262.1,,,,,,,no,,,,,BI,SRA122218,,public,AC3EE2111897D8456D235441EE31B981,32844DE8E782E3FA9385514330190F2A
SRR1056553,2013-12-22 17:10:29,2013-12-22 17:19:00,42355,12706500,42355,300,6,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056553/SRR1056553.sralite.1,SRX397173,NuGEN_1278.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,132.853,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518127,SAMN02399349,simple,12637,Dengue virus,1278.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,D902359C0962A8BC345068B8AFC2F0A9,1688D6634FB236AC5F46174F1DE4D9E3
SRR1056483,2013-12-22 17:10:29,2013-12-22 17:14:50,50402,15120600,50402,300,8,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056483/SRR1056483.sralite.1,SRX397253,NuGEN_1301.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,127.348,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518182,SAMN02399325,simple,12637,Dengue virus,1301.1,,,,,,,no,,,,,BI,SRA122218,,public,8C536FF9DEA530F42FC907B4ACBFB3EB,7C726B854CA82A370C9176D2F85188CE
SRR1056562,2013-12-22 17:10:29,2013-12-22 17:19:02,129398,38819400,129398,300,19,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056562/SRR1056562.sralite.1,SRX397162,NuGEN_1305.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,144.651,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518116,SAMN02399326,simple,12637,Dengue virus,1305.1,,,,,,,no,,,,,BI,SRA122218,,public,68FEA1BA281B2DF371731EAC9A898F2E,ADA2D1C38AF98DF7D24047EEEAC03CCB
SRR1056528,2013-12-22 17:10:29,2013-12-22 17:16:51,39810,11943000,39810,300,6,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056528/SRR1056528.sralite.1,SRX397216,NuGEN_1306.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,104.399,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518157,SAMN02399312,simple,12637,Dengue virus,1306.1,,,,,,,no,,,,,BI,SRA122218,,public,1AB86AF9066EAE798F52259091166218,7B028080EE8157D2139AD74B2F17E007
SRR1056544,2013-12-22 17:10:29,2013-12-22 17:17:37,19834,5950200,19834,300,3,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056544/SRR1056544.sralite.1,SRX397268,NuGEN_1308.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,101.394,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518193,SAMN02399323,simple,12637,Dengue virus,1308.1,,,,,,,no,,,,,BI,SRA122218,,public,C04B5989000DB36AC936C472CF13E2C3,3A4DF3E9D76FD692785FC5F9517CCC25
SRR1056579,2013-12-22 17:10:28,2013-12-22 17:19:41,63166,18949800,63166,300,9,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056579/SRR1056579.sralite.1,SRX397279,NuGEN_1310.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,123.802,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518201,SAMN02399320,simple,12637,Dengue virus,1310.1,,,,,,,no,,,,,BI,SRA122218,,public,B0CBA17A2F0A6533803F2BD0B3348956,7B02CC3202F5660E6ED2BEF3CF8372A0
SRR1056516,2013-12-22 17:10:29,2013-12-22 17:16:50,68411,20523300,68411,300,10,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056516/SRR1056516.sralite.1,SRX397175,NuGEN_1327.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,126.9,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518129,SAMN02399327,simple,12637,Dengue virus,1327.1,,,,,,,no,,,,,BI,SRA122218,,public,994118892C6862B64EAE83A15B92BB34,342FDFCE256499006D272C6D498ACEE6
